代码,名称,更新日期,单位净值,累积净值,日增长率,近一周,近一月,近3月,近6月,近1年,近2年,近3年,今年以来,成立以来,成立日期,,,,,,
4666,长城久嘉创新成长混合,2020-2-21,1.5473,1.5473,2.3279,15.0409,22.9187,55.445,68.9746,82.8744,52.8198,,47.3058,54.73,2017-7-5,,,,,,
8085,海富通先进制造股票A,2020-2-21,1.2069,1.2069,2.8637,13.3772,17.8844,,,,,,20.7504,20.69,2019-12-17,,,,,,
8084,海富通先进制造股票C,2020-2-21,1.206,1.206,2.8659,13.3565,17.8425,,,,,,20.6724,20.6,2019-12-17,,,,,,
519674,银河创新成长混合,2020-2-21,6.1423,6.1423,3.0847,13.2367,25.612,67.0147,102.3822,160.6314,139.578,179.9207,52.4598,514.23,2010-12-29,,,,,,
7685,华商电子行业量化股票,2020-2-21,1.4776,1.4776,2.7181,13.174,19.0077,47.3915,,,,,35.7464,47.76,2019-9-17,,,,,,
2844,金鹰多元策略混合,2020-2-21,1.8435,1.8435,3.55,12.8973,21.651,45.6621,60.4858,88.5741,80.8417,92.8347,42.3662,84.35,2016-8-9,,,,,,
2244,景顺长城低碳科技主题混合,2020-2-21,1.496,1.546,2.7473,12.8206,13.6779,42.4763,40.6016,66.5925,52.9653,38.5186,25.5033,56.3754,2016-3-11,,,,,,
260115,景顺长城中小盘混合,2020-2-21,1.588,2.148,2.3856,12.7841,10.9713,30.9151,36.8965,54.9268,44.8905,57.5396,19.2192,147.462,2011-3-22,,,,,,
290011,泰信中小盘精选混合,2020-2-21,2.808,3.068,2.5941,12.7711,20,49.2823,76.4927,102.3054,86.2069,56.8715,36.6423,228.5086,2011-10-26,,,,,,
160643,鹏华空天军工指数(LOF),2020-2-21,0.9887,0.9887,2.8717,12.6724,11.9451,23.4949,19.1205,26.4807,28.6365,,19.0631,-1.1399,2017-6-13,,,,,,
63,长盛电子信息主题灵活配置混合,2020-2-21,2.068,2.068,2.9368,12.6362,22.4393,37.2263,51.1696,68.4039,23.242,17.3001,37.2263,106.8,2013-5-10,,,,,,
160630,鹏华中证国防指数分级,2020-2-21,0.885,1.171,2.907,12.4523,10.7634,22.3616,21.5471,25.7325,25.9184,-20.2089,17.0636,-18.0932,2014-11-13,,,,,,
4224,南方军工改革灵活配置混合,2020-2-21,0.8591,0.8591,2.9849,12.4182,9.719,18.8737,16.678,29.7146,17.9272,,13.8937,-14.09,2017-3-8,,,,,,
985,嘉实逆向策略股票,2020-2-21,1.772,1.772,2.6057,12.3653,15.3646,38.5457,47.7898,73.7255,48.0368,55.7118,31.5516,77.2,2015-2-2,,,,,,
8281,国泰CES半导体行业ETF联接A,2020-2-21,1.5284,1.5284,1.9137,12.2915,24.8999,,,,,,47.0039,52.84,2019-11-22,,,,,,
8282,国泰CES半导体行业ETF联接C,2020-2-21,1.5273,1.5273,1.9083,12.285,24.8712,,,,,,46.9405,52.73,2019-11-22,,,,,,
70021,嘉实主题新动力混合,2020-2-21,2.669,2.669,2.5355,12.2372,15.6412,38.5054,47.7852,78.2899,94.5335,81.4412,31.4778,166.9,2010-12-7,,,,,,
8086,华夏中证5G通信主题ETF联接A,2020-2-21,1.2568,1.2568,2.7553,12.2243,16.803,,,,,,25.8814,25.68,2019-12-10,,,,,,
8087,华夏中证5G通信主题ETF联接C,2020-2-21,1.2561,1.2561,2.7569,12.2219,16.7705,,,,,,25.8365,25.61,2019-12-10,,,,,,
534,长盛高端装备混合,2020-2-21,2.253,2.253,3.2539,12.2012,17.2827,36.7112,50,61.7373,50,45.3548,27.2881,125.3,2014-3-25,,,,,,
164402,前海开源中航军工,2020-2-21,1.097,0.777,2.7154,12.1677,7.7602,14.6608,11.8312,20.9017,17.9374,-21.5911,12.0523,-22.9955,2015-3-30,,,,,,
1210,天弘互联网混合,2020-2-21,1.1935,1.1935,3.0478,12.15,22.5108,47.2003,64.3034,117.7522,85.9903,98.983,41.4267,19.35,2015-5-29,,,,,,
6257,信达澳银先进智造股票型,2020-2-21,1.8773,1.8773,3.0804,12.0642,19.4287,49.0275,61.7247,86.9634,,,34.4386,87.73,2019-1-17,,,,,,
1617,天弘中证电子指数A,2020-2-21,1.4077,1.4077,2.5422,12.0513,16.8798,42.4077,55.3581,80.706,49.6757,61.1747,31.9678,40.77,2015-7-29,,,,,,
1618,天弘中证电子指数C,2020-2-21,1.3921,1.3921,2.5412,12.0402,16.8653,42.3415,55.1951,80.3472,49.0471,60.1035,31.9401,39.21,2015-7-29,,,,,,
163116,申万菱信申万电子分级,2020-2-21,1.4953,1.0373,2.1868,12.0326,15.3157,41.3058,55.874,76.7253,44.6701,57.3874,30.6394,3.7312,2015-5-14,,,,,,
8326,东财中证通信A,2020-2-21,1.0874,1.0874,3.6112,11.9646,8.74,,,,,,,8.74,2020-1-20,,,,,,
8327,东财中证通信C,2020-2-21,1.0872,1.0872,3.6119,11.9555,8.72,,,,,,,8.72,2020-1-20,,,,,,
50018,博时行业轮动混合,2020-2-21,1.454,1.454,3.0475,11.9323,13.0638,23.3249,24.6998,33.2722,16.6934,38.6082,11.6743,45.4,2010-12-10,,,,,,
501019,国泰国证航天军工指数,2020-2-21,0.9515,0.9515,2.8204,11.9017,9.873,21.8466,19.1013,37.8786,36.0257,,16.4342,-4.85,2017-3-29,,,,,,
7300,国联安中证半导体ETF联接A,2020-2-21,2.1657,2.1657,2.1701,11.83,26.0594,69.7523,92.5579,,,,50.6155,116.5483,2019-6-26,,,,,,
7301,国联安中证半导体ETF联接C,2020-2-21,2.1569,2.1569,2.1646,11.8202,26.0313,69.6076,92.0145,,,,50.5584,115.6684,2019-6-26,,,,,,
2251,华夏军工安全混合,2020-2-21,1.06,1.06,2.8128,11.8143,8.7179,20.1814,15.2174,26.3409,30.5419,-2.3941,14.8429,6,2016-3-22,,,,,,
502003,易方达军工分级,2020-2-21,1.4475,,2.82,11.6208,11.7932,22.7006,19.2928,30.3064,28.7618,-12.968,18.4048,-37.6157,2015-7-8,,,,,,
161628,融通军工分级,2020-2-21,0.953,0.705,2.694,11.5925,10.1735,20.0309,14.7211,25.6958,20.7524,-17.2191,16.0779,-29.3444,2015-7-1,,,,,,
163115,申万菱信中证军工指数分级,2020-2-21,1.1976,1.5844,2.8689,11.5915,10.8684,20.811,15.3424,25.9607,22.971,-16.924,16.8961,19.7177,2014-7-24,,,,,,
3017,广发中证军工ETF联接A,2020-2-21,0.8793,0.8793,2.758,11.5863,10.2432,20.0246,14.7612,26.5362,23.2894,-12.9406,16.1099,-12.07,2016-9-26,,,,,,
5693,广发中证军工ETF联接C,2020-2-21,0.8791,0.8791,2.7586,11.5752,10.2182,19.9482,14.5856,26.3802,23.2614,,16.0835,22.9855,2018-2-13,,,,,,
586,景顺长城中小板创业板精选股票,2020-2-21,2.228,2.228,2.3427,11.5674,12.4117,38.1277,48.831,70.0763,63.104,32.4614,20.7588,122.8,2014-4-30,,,,,,
596,前海开源中证军工指数A,2020-2-21,1.413,1.413,2.8384,11.5233,9.5349,19.3412,15.8197,26.2735,22.6563,-16.1922,15.8197,41.3,2014-5-27,,,,,,
7484,信达澳银核心科技混合,2020-2-21,1.572,1.572,3.1835,11.5052,18.0889,48.4139,57.2,,,,34.739,57.2,2019-8-14,,,,,,
161024,富国中证军工指数分级,2020-2-21,1.302,1.65,2.6814,11.4726,10.4325,20.1254,14.1397,23.1313,20.8311,-19.9247,16.3539,35.4308,2014-4-4,,,,,,
519929,长信电子信息行业量化混合,2020-2-21,1.206,1.206,3.2534,11.4603,17.0874,45.3012,52.8517,81.0811,53.6306,27.7542,36.8899,20.6,2016-7-27,,,,,,
2199,前海开源中证军工指数C,2020-2-21,0.721,1.681,2.8531,11.4374,9.5745,19.1735,15.7304,26.049,21.9966,-16.7437,15.7304,-28.7241,2015-11-30,,,,,,
162703,广发小盘成长混合(LOF),2020-2-21,2.7805,5.1185,2.6394,11.4205,21.2075,46.5272,76.7304,138.5876,105.2484,140.4861,36.903,1079.2128,2005-2-2,,,,,,
1838,国投瑞银国家安全混合,2020-2-21,0.742,0.742,2.2039,11.4114,5.3977,13.2824,8.7977,12.9376,15.9375,-24.6701,7.5362,-25.8,2015-12-2,,,,,,
519170,浦银安盛增长动力混合,2020-2-21,0.825,0.825,1.9778,11.336,11.4865,24.0602,25.3799,51.3761,25.1897,14.1079,21.6814,-17.5,2015-3-12,,,,,,
50010,博时特许价值混合A,2020-2-21,2.389,2.829,2.5322,11.3234,7.3226,22.9542,34.8956,72.6156,50.8207,56.7586,14.3062,234.2082,2008-5-28,,,,,,
4854,广发中证全指汽车指数A,2020-2-21,0.8229,0.8229,2.0208,11.3231,3.1332,14.0224,10.3231,7.9921,-12.8099,,8.1909,-17.71,2017-7-31,,,,,,
270028,广发制造业精选混合,2020-2-21,3.739,3.739,1.8246,11.3129,15.1524,41.2543,54.4403,85.7427,55.0809,60.1971,29.1091,273.9,2011-9-20,,,,,,
